T12286  768	64 64 64 64 128 128 256
T12291  1280	64 64 64 64 128 128 256 512
T8213   768	64 64 64 64 128 128 256
T8167   2304	64 64 64 64 128 128 256 512 1024
T12285  768	64 64 64 64 128 128 256
T12290  1280	64 64 64 64 128 128 256 512
T8214   768	64 64 64 64 128 128 256
T8167   2304	64 64 64 64 128 128 256 512 1024
T12315  768	64 64 64 64 128 128 256
T12261  1280	64 64 64 64 128 128 256 512
T8212   768	64 64 64 64 128 128 256
T8168   2304	64 64 64 64 128 128 256 512 1024
T12316  768	64 64 64 64 128 128 256
T12261  1280	64 64 64 64 128 128 256 512
T8215   768	64 64 64 64 128 128 256
T8196   2304	64 64 64 64 128 128 256 512 1024
T12287  768	64 64 64 64 128 128 256
T12259  1280	64 64 64 64 128 128 256 512
T8214   768	64 64 64 64 128 128 256
T8196   2304	64 64 64 64 128 128 256 512 1024
T12287  768	64 64 64 64 128 128 256
T12289  1280	64 64 64 64 128 128 256 512
T8185   768	64 64 64 64 128 128 256
T8196   2304	64 64 64 64 128 128 256 512 1024
T12287  768	64 64 64 64 128 128 256
T12290  1280	64 64 64 64 128 128 256 512
T8183   768	64 64 64 64 128 128 256
T8195   2304	64 64 64 64 128 128 256 512 1024
T12287  768	64 64 64 64 128 128 256
T12291  1280	64 64 64 64 128 128 256 512
T8184   768	64 64 64 64 128 128 256
T8198   2304	64 64 64 64 128 128 256 512 1024
T12286  768	64 64 64 64 128 128 256
T12292  1280	64 64 64 64 128 128 256 512
T8183   768	64 64 64 64 128 128 256
T8197   2304	64 64 64 64 128 128 256 512 1024
T12285  768	64 64 64 64 128 128 256
T12290  1280	64 64 64 64 128 128 256 512
T8184   768	64 64 64 64 128 128 256
T8197   2304	64 64 64 64 128 128 256 512 1024
T12285  768	64 64 64 64 128 128 256
T12291  1280	64 64 64 64 128 128 256 512
T8212   768	64 64 64 64 128 128 256
T8168   2304	64 64 64 64 128 128 256 512 1024
T12315  768	64 64 64 64 128 128 256
T12260  1280	64 64 64 64 128 128 256 512
T8213   768	64 64 64 64 128 128 256
T8168   2304	64 64 64 64 128 128 256 512 1024
T12314  768	64 64 64 64 128 128 256
T12262  1280	64 64 64 64 128 128 256 512
T8213   768	64 64 64 64 128 128 256
T8167   2304	64 64 64 64 128 128 256 512 1024
T12316  768	64 64 64 64 128 128 256
T12290  1280	64 64 64 64 128 128 256 512
T8184   768	64 64 64 64 128 128 256
T8197   2304	64 64 64 64 128 128 256 512 1024
T12285  768	64 64 64 64 128 128 256
T12290  1280	64 64 64 64 128 128 256 512
T8183   768	64 64 64 64 128 128 256
T8196   2304	64 64 64 64 128 128 256 512 1024
T12286  768	64 64 64 64 128 128 256
T12291  1280	64 64 64 64 128 128 256 512
T8184   768	64 64 64 64 128 128 256
T8197   2304	64 64 64 64 128 128 256 512 1024
T12286  768	64 64 64 64 128 128 256
T12291  1280	64 64 64 64 128 128 256 512
T8182   768	64 64 64 64 128 128 256
T8196   2304	64 64 64 64 128 128 256 512 1024
T12286  768	64 64 64 64 128 128 256
T12291  1280	64 64 64 64 128 128 256 512
T8185   768	64 64 64 64 128 128 256
T8196   2304	64 64 64 64 128 128 256 512 1024
T12287  768	64 64 64 64 128 128 256
T12289  1280	64 64 64 64 128 128 256 512
T8215   768	64 64 64 64 128 128 256
T8165   2304	64 64 64 64 128 128 256 512 1024
T12287  768	64 64 64 64 128 128 256
T12289  1280	64 64 64 64 128 128 256 512
T8214   768	64 64 64 64 128 128 256
T8167   2304	64 64 64 64 128 128 256 512 1024
T12317  768	64 64 64 64 128 128 256
T12261  1280	64 64 64 64 128 128 256 512
T8213   768	64 64 64 64 128 128 256
T8166   2304	64 64 64 64 128 128 256 512 1024
T12316  768	64 64 64 64 128 128 256
T12260  1280	64 64 64 64 128 128 256 512
T8214   768	64 64 64 64 128 128 256
T8195   2304	64 64 64 64 128 128 256 512 1024
T12286  768	64 64 64 64 128 128 256
T12291  1280	64 64 64 64 128 128 256 512
T8183   768	64 64 64 64 128 128 256
T8197   2304	64 64 64 64 128 128 256 512 1024
T12286  768	64 64 64 64 128 128 256
T12290  1280	64 64 64 64 128 128 256 512
T8184   768	64 64 64 64 128 128 256
T8198   2304	64 64 64 64 128 128 256 512 1024
T12285  768	64 64 64 64 128 128 256
T12291  1280	64 64 64 64 128 128 256 512
T8183   768	64 64 64 64 128 128 256
T8198   2304	64 64 64 64 128 128 256 512 1024
T12286  768	64 64 64 64 128 128 256
T12291  1280	64 64 64 64 128 128 256 512
T8184   768	64 64 64 64 128 128 256
T8198   2304	64 64 64 64 128 128 256 512 1024
T12287  768	64 64 64 64 128 128 256
T12289  1280	64 64 64 64 128 128 256 512
T8182   768	64 64 64 64 128 128 256
T8197   2304	64 64 64 64 128 128 256 512 1024
T12286  768	64 64 64 64 128 128 256
T12290  1280	64 64 64 64 128 128 256 512
T8186   768	64 64 64 64 128 128 256
T8197   2304	64 64 64 64 128 128 256 512 1024
T12287  768	64 64 64 64 128 128 256
T12291  1280	64 64 64 64 128 128 256 512
