Flow, Port, Time, Duration, RxPackets, RxData
64B-downstream,trunk-1_19,1522324279000000000,1000000000,0,0
64B-downstream,trunk-1_19,1522324279000000000,1000000000,0,0
64B-downstream,trunk-1_19,1522324280000000000,1000000000,10,600
64B-downstream,trunk-1_19,1522324281000000000,1000000000,20,1200
64B-downstream,trunk-1_19,1522324282000000000,1000000000,30,1800
64B-downstream,trunk-1_19,1522324283000000000,1000000000,40,2400
64B-downstream,trunk-1_19,1522324284000000000,1000000000,50,3000
64B-downstream,trunk-1_19,1522324285000000000,1000000000,60,3600
64B-downstream,trunk-1_19,1522324286000000000,1000000000,70,4200
64B-downstream,trunk-1_19,1522324287000000000,1000000000,80,4800
64B-downstream,trunk-1_19,1522324288000000000,1000000000,90,5400
64B-downstream,trunk-1_19,1522324289000000000,1000000000,100,6000
64B-downstream,trunk-1_19,1522324290000000000,1000000000,110,6600
64B-downstream,trunk-1_19,1522324291000000000,1000000000,120,7200
64B-downstream,trunk-1_19,1522324292000000000,1000000000,130,7800
64B-downstream,trunk-1_19,1522324293000000000,1000000000,140,8400
64B-downstream,trunk-1_19,1522324294000000000,1000000000,150,9000
64B-downstream,trunk-1_19,1522324295000000000,1000000000,160,9600
64B-downstream,trunk-1_19,1522324296000000000,1000000000,170,10200
64B-downstream,trunk-1_19,1522324297000000000,1000000000,180,10800
64B-downstream,trunk-1_19,1522324298000000000,1000000000,190,11400
64B-downstream,trunk-1_19,1522324299000000000,1000000000,200,12000
64B-downstream,trunk-1_19,1522324300000000000,1000000000,210,12600
64B-downstream,trunk-1_19,1522324301000000000,1000000000,220,13200
64B-downstream,trunk-1_19,1522324302000000000,1000000000,230,13800
64B-downstream,trunk-1_19,1522324303000000000,1000000000,240,14400
64B-downstream,trunk-1_19,1522324304000000000,1000000000,250,15000
64B-downstream,trunk-1_19,1522324305000000000,1000000000,260,15600
64B-downstream,trunk-1_19,1522324306000000000,1000000000,270,16200
64B-downstream,trunk-1_19,1522324307000000000,1000000000,280,16800
64B-downstream,trunk-1_19,1522324308000000000,1000000000,290,17400
64B-downstream,trunk-1_19,1522324309000000000,1000000000,300,18000
64B-downstream,trunk-1_19,1522324310000000000,1000000000,310,18600
64B-downstream,trunk-1_19,1522324311000000000,1000000000,320,19200
